,downYear,upYear,downMonth,upMonth,consecUp,consecDown
11607,21,27,247,340,10,7
24037,9,15,139,159,6,6
22648,6,20,133,189,13,6
19887,9,15,139,167,9,6
25128,2,5,42,52,8,4
25697,7,13,124,147,6,8
18921,16,26,251,267,9,8
15974,2,8,66,72,8,6
12669,8,9,111,112,10,8
18550,11,19,166,208,11,7
20677,9,20,161,205,9,9
21514,15,26,230,281,8,7
20298,1,5,38,48,6,5
11308,13,51,304,474,15,7
21346,10,10,137,122,8,9
16598,7,16,126,164,10,7
22621,0,1,11,17,7,4
23894,8,9,109,116,8,9
20095,8,10,115,122,6,6
18446,13,24,218,240,10,6
13637,9,9,101,124,6,7
20650,0,0,9,3,1,5
15448,2,7,47,75,7,5
19510,7,7,87,99,6,6
23819,21,43,354,424,12,8
18681,20,22,230,308,7,6
24002,7,11,109,123,5,5
21004,10,32,220,300,8,7
19174,6,7,77,96,14,5
10006,9,17,146,181,7,6
19764,4,6,72,82,7,5
16758,8,13,126,136,8,7
19553,9,32,212,290,9,5
13928,14,50,332,446,11,5
10401,15,32,257,327,18,5
24942,18,44,317,440,12,7
10751,10,15,142,169,7,5
23165,0,2,16,20,9,5
22242,3,5,50,60,9,5
23448,8,17,142,172,5,6
14314,0,0,7,8,3,2
10727,7,5,78,81,8,5
18841,3,7,67,66,10,7
14277,22,38,321,420,10,8
16651,12,17,190,179,8,10
10436,5,8,86,85,13,5
17515,4,6,64,70,5,4
23237,5,7,79,86,7,7
12167,9,8,103,122,10,8
17726,11,31,230,295,11,7
21418,4,6,61,77,7,7
19668,2,5,37,57,7,5
16969,5,12,107,115,10,11
21821,11,31,216,298,7,11
22760,10,20,176,200,8,8
18366,1,2,25,29,4,3
15499,4,7,75,71,5,12
18948,11,27,204,272,11,8
23384,3,4,54,42,3,7
10516,17,35,288,355,8,8
18016,19,31,290,330,7,11
25582,12,24,199,266,7,5
18067,16,21,224,241,12,10
17048,2,7,49,75,9,6
15536,3,7,58,72,11,6
13135,2,4,34,48,8,4
12896,4,6,60,81,15,4
24328,8,19,167,184,9,8
16926,1,3,21,37,7,4
24643,25,39,357,421,12,7
17718,3,7,69,63,8,7
21119,12,17,171,190,8,6
11295,8,20,147,199,13,6
19967,3,1,39,28,4,5
21178,19,35,281,394,16,10
19692,14,28,239,285,9,10
17451,2,7,61,62,4,5
13151,0,2,17,22,5,3
24539,9,34,220,313,9,7
19297,8,16,143,160,10,7
14883,10,31,230,276,9,8
23341,10,26,199,251,12,5
20482,15,49,313,464,9,5
19959,0,0,8,5,1,3
25662,9,15,139,167,12,8
20511,4,3,49,44,6,5
24010,18,46,330,448,14,5
11527,3,7,61,77,12,5
12941,4,5,57,65,6,8
15480,2,3,38,41,9,5
14592,8,22,159,212,8,6
18454,0,3,17,36,8,4
22728,9,18,167,177,8,4
28513,3,8,61,85,6,9
23456,3,7,57,73,9,7
24803,16,30,258,314,11,8
11164,8,20,168,189,8,7
24854,7,13,116,136,7,7
20079,10,23,176,234,10,6
24571,7,17,138,170,8,6
17064,2,1,30,19,3,7
10102,9,8,109,106,6,7
10209,2,3,34,45,7,5
24563,8,41,270,337,9,5
22779,20,44,343,435,10,7
24993,3,3,42,41,6,7
16344,1,7,43,68,7,5
20503,2,5,50,49,6,5
23026,17,47,302,472,9,7
18649,14,24,206,256,11,7
22170,0,1,13,17,4,5
20896,9,16,139,171,7,6
19879,11,9,122,124,11,7
18374,12,28,223,280,8,7
23536,6,31,188,281,6,5
14699,0,0,0,1,1,0
20992,8,8,109,93,8,9
26366,8,9,93,124,9,5
20909,10,17,154,188,6,8
21266,3,5,49,62,7,4
21194,9,8,104,115,7,5
15317,3,4,45,57,9,4
25179,1,1,10,21,7,2
22218,6,8,104,99,8,14
12650,10,14,150,174,8,6
21469,4,3,49,53,8,7
22410,8,11,121,142,7,7
21223,0,0,5,13,4,2
18331,8,11,110,125,10,7
26657,19,21,242,257,7,7
15579,20,42,334,420,12,6
26294,13,16,178,194,8,7
25419,18,44,329,424,9,6
25670,0,0,11,8,3,6
26446,7,3,73,64,4,6
26323,3,4,39,55,7,4
24387,1,3,32,32,4,6
23616,0,0,7,12,4,3
14728,1,1,16,23,4,3
25742,0,0,1,7,7,1
27158,3,6,52,65,5,4
27473,11,16,167,163,6,7
16424,13,31,202,338,9,7
25339,3,2,41,22,3,10
25910,12,21,180,223,7,10
13119,20,25,255,289,7,7
22533,7,11,93,130,8,6
27027,9,18,144,191,11,6
26921,9,5,89,87,5,7
27537,2,4,30,49,8,4
21709,8,14,130,155,13,10
25574,9,13,122,155,6,7
27465,5,5,65,74,6,8
27182,2,1,32,20,4,7
26825,16,44,313,416,9,5
11033,1,5,39,44,6,5
23878,3,3,38,44,6,5
18390,3,3,42,47,8,5
27836,8,4,77,76,5,6
27510,6,13,115,125,7,10
27916,2,4,39,42,7,4
28003,6,10,87,112,6,7
20415,8,9,132,120,8,9
27617,1,1,16,10,2,5
28310,8,31,208,278,11,8
28134,10,14,130,173,12,4
24889,1,4,33,38,5,5
23253,8,10,118,128,7,5
68523,1,2,35,21,4,10
28118,13,24,217,241,7,9
28484,23,27,288,333,12,9
38404,1,2,20,24,4,3
28548,5,19,132,168,8,6
26737,4,10,89,108,6,8
26120,6,13,107,135,11,5
23552,13,17,183,192,9,8
22920,4,5,66,56,5,10
23288,0,0,5,11,3,1
25718,9,9,110,117,7,6
14402,6,9,87,103,11,5
38973,7,27,175,241,10,5
39263,3,6,61,56,7,9
11746,4,5,58,67,5,5
26622,9,16,136,173,10,8
28580,5,15,100,149,11,9
25515,5,6,77,70,6,7
27983,22,35,324,364,8,8
22365,0,1,4,12,7,2
23579,13,36,248,349,9,9
28353,8,29,178,278,11,7
39917,17,40,315,381,10,6
26438,14,21,208,235,10,8
21338,4,4,62,56,4,8
25478,10,12,127,156,8,5
23915,15,25,241,261,9,7
39626,6,9,95,99,7,6
19166,17,32,273,331,8,7
40010,6,14,116,143,6,5
36468,12,45,303,389,12,8
40483,9,27,189,251,8,9
40758,1,2,19,29,5,7
40301,7,15,135,144,8,5
22103,11,45,299,385,9,6
27174,8,10,107,130,8,6
23800,5,5,70,73,9,6
38914,14,19,203,223,16,10
41080,23,33,315,369,11,10
25902,4,3,54,46,6,5
41515,3,1,34,28,4,6
40790,6,8,90,96,8,8
27000,4,6,63,70,7,6
27115,11,20,171,214,10,6
27297,6,11,97,120,6,8
41953,6,3,65,51,8,8
28177,3,4,50,45,6,8
28265,3,4,48,47,6,5
26729,11,20,180,202,6,8
27342,4,11,85,104,10,5
25873,7,11,103,124,6,7
42323,3,4,52,39,5,6
40635,7,22,160,190,8,5
34040,16,13,179,185,7,6
34550,2,1,26,21,3,6
29911,7,6,87,86,5,8
39992,8,7,95,99,7,8
26155,4,5,54,62,4,5
26075,11,22,191,219,9,7
27043,6,14,119,144,6,8
30330,6,23,156,196,9,6
20474,5,2,54,37,3,5
24985,13,26,208,269,9,8
25144,4,5,58,57,4,10
26788,7,9,100,102,6,6
27940,7,15,118,150,10,6
21928,4,5,54,61,7,7
22613,5,5,66,70,5,6
40061,14,25,217,272,9,9
21274,11,15,148,176,10,9
27051,6,25,162,222,9,5
25988,5,12,97,125,9,5
27852,3,2,32,37,4,3
27879,4,1,37,33,4,6
28505,8,11,107,130,8,6
40416,19,28,251,323,11,9
44062,8,24,169,233,11,4
31763,8,8,100,105,5,7
27086,8,14,128,153,11,7
40854,5,12,96,121,10,6
43609,4,7,71,67,5,7
17267,4,5,52,66,5,5
40723,8,9,103,108,8,6
42569,2,0,20,12,3,4
16280,2,3,39,35,8,6
19414,7,9,91,105,9,9
45081,8,6,83,92,8,5
11332,2,2,30,31,4,6
43094,0,0,6,6,3,3
23480,0,0,2,4,4,2
27596,10,18,160,197,7,4
44505,6,7,84,91,5,7
45620,7,2,61,58,6,9
26112,18,18,222,228,8,8
45604,0,8,43,80,6,4
28089,1,0,14,10,2,4
42606,12,11,142,149,8,8
17961,11,21,172,224,12,5
42796,12,30,220,292,9,6
41785,2,3,38,31,7,6
27924,8,14,131,151,7,6
24651,4,3,57,40,5,8
40432,2,0,15,16,5,6
20343,8,11,114,123,12,6
42075,5,1,50,39,7,5
45663,4,5,56,62,7,8
43633,0,0,4,5,3,2
43203,4,6,63,62,5,7
45225,2,1,27,22,6,5
28994,1,0,12,10,4,3
26649,10,10,112,140,8,5
29962,4,1,41,34,6,8
39271,7,8,93,102,11,5
39458,5,5,66,58,6,9
27238,5,1,52,35,7,8
46682,4,10,88,95,8,6
22939,0,0,3,4,3,3
33873,6,6,78,70,6,10
34024,4,10,76,102,7,7
16029,6,7,78,90,6,5
46252,5,7,69,83,10,5
33814,11,16,150,195,11,5
46578,10,42,262,374,11,5
39896,3,8,73,80,7,9
47386,0,2,19,23,10,4
14656,17,25,233,290,7,7
21207,22,30,303,329,7,5
26569,4,4,58,56,5,6
48725,13,39,264,365,9,8
22568,11,7,120,110,6,5
22138,1,4,35,41,5,4
38324,4,7,70,81,6,5
49592,3,2,42,34,4,7
47562,4,1,52,24,4,11
21397,10,19,177,185,10,6
38930,2,1,26,24,6,4
32141,4,3,54,48,7,6
45428,9,6,90,99,6,5
42024,15,22,222,236,6,7
50227,12,27,210,268,12,6
48549,5,8,76,100,10,6
23309,8,28,197,253,7,6
33312,5,14,115,130,11,6
39669,5,14,104,134,12,9
49744,9,21,184,191,9,6
17435,6,7,84,84,6,9
14461,3,2,40,40,4,3
26462,2,4,36,46,6,3
46703,10,26,221,237,9,7
38455,5,4,56,64,6,4
43449,12,39,246,373,11,6
47482,0,0,7,6,2,3
22189,2,3,32,39,10,5
41160,2,4,37,39,5,5
50876,15,36,266,348,13,6
48258,3,2,32,35,6,7
51799,4,5,58,65,7,5
42083,11,23,198,230,8,8
27748,0,0,8,7,2,2
49955,4,2,46,42,4,4
49920,6,4,62,65,7,8
46447,4,7,72,72,6,7
26534,5,6,66,71,7,4
45014,9,8,109,107,7,7
46228,9,7,110,101,7,7
15747,5,15,126,132,8,8
54009,0,0,4,3,2,2
39335,3,7,59,76,8,4
39538,13,24,225,246,9,7
27887,14,35,251,341,10,11
48434,5,4,53,66,8,9
43510,5,6,71,73,6,8
47052,2,8,57,78,6,4
27190,5,7,75,83,7,6
25590,2,1,20,26,6,5
39642,15,34,255,337,9,6
42526,4,8,62,86,6,6
46391,2,2,35,32,5,4
39087,12,21,191,232,9,9
15560,15,22,206,254,8,7
16336,2,6,55,59,8,7
20394,9,13,143,140,6,7
21282,0,2,16,24,8,2
39765,9,13,120,156,12,5
10874,13,21,191,232,7,7
51801,1,1,17,21,4,4
56266,7,17,144,161,6,7
42091,1,0,16,8,3,6
56485,8,5,71,96,9,8
49680,6,18,123,182,13,7
50681,1,1,20,18,2,3
50403,1,0,14,9,3,4
22111,13,35,244,340,10,9
51027,2,0,26,12,4,12
56864,2,4,40,63,11,5
40352,9,8,101,109,6,5
46201,1,2,23,20,4,5
31536,8,16,128,168,8,7
46674,10,38,253,325,10,8
50534,1,4,35,47,6,5
46295,11,14,140,168,9,8
38885,2,2,29,31,5,6
41486,4,9,80,92,6,5
38850,9,11,121,133,7,6
48565,10,6,101,101,7,10
57779,0,0,4,11,7,2
48119,0,1,11,13,7,5
38578,10,19,162,196,8,5
27713,11,22,189,220,6,7
56223,15,16,188,197,9,6
27828,17,30,256,311,11,8
58296,9,10,123,125,6,5
57488,6,3,69,59,5,6
38156,13,33,233,330,9,8
40221,6,9,91,103,8,5
46877,13,28,206,304,10,9
42235,0,2,17,21,6,4
53786,5,18,113,175,8,5
35166,2,7,57,65,7,7
38041,2,5,39,51,5,4
55386,3,3,43,36,6,5
38551,3,10,59,107,11,5
43916,9,13,129,143,8,5
40141,1,9,64,61,4,6
48960,8,22,163,203,5,5
46922,3,21,131,164,7,6
47941,12,29,235,263,7,10
41662,2,8,61,71,8,4
44273,3,4,48,58,6,5
20220,16,17,192,218,8,6
40053,1,10,54,95,8,4
21485,6,6,69,93,7,5
58659,0,0,2,4,2,1
43502,1,3,24,37,4,3
40272,14,31,239,311,10,7
56012,0,0,9,11,7,3
41478,2,2,34,24,4,7
59408,15,30,234,312,8,7
59379,8,22,155,217,7,6
41718,4,15,104,133,7,7
41929,7,12,117,128,6,7
50956,5,16,111,150,8,7
48071,5,19,132,162,9,6
51772,6,16,111,168,8,5
38703,11,34,224,322,9,8
46850,6,17,122,171,7,6
33056,2,3,30,39,6,4
57250,2,5,44,55,5,6
58827,7,14,120,147,9,6
47626,4,13,88,124,9,5
53903,5,5,66,63,6,6
53858,5,13,106,127,9,5
56805,5,5,70,59,7,5
47079,4,17,118,149,7,5
26497,4,1,46,28,4,5
80411,0,1,15,15,2,3
24192,7,10,96,123,8,6
24205,6,39,198,348,12,6
59483,8,11,115,129,8,6
26550,3,16,90,147,9,7
59176,11,34,220,326,8,6
59459,9,36,217,329,7,5
48223,4,11,86,100,8,7
47896,13,32,241,305,8,7
59184,8,23,165,223,7,5
54615,0,5,32,44,5,4
59192,10,29,202,272,7,5
46658,6,12,100,126,7,5
49015,12,33,225,321,9,6
59440,9,22,157,229,6,6
53081,6,14,104,147,10,8
59432,11,10,114,143,9,6
26403,13,32,227,319,10,6
59221,1,4,28,41,7,4
47300,4,12,86,123,7,6
59248,17,28,248,298,8,8
59416,2,6,51,55,6,4
48354,3,19,116,159,7,5
56098,1,0,11,17,7,3
48485,7,22,136,221,11,7
48397,3,21,110,191,9,5
27959,8,37,203,343,13,4
31659,8,4,81,72,6,6
26286,6,6,80,75,4,7
59467,10,6,106,95,8,7
59328,13,32,229,312,12,5
49154,12,33,224,317,7,5
51377,14,20,193,224,6,6
28169,1,1,16,14,3,10
42657,0,1,14,18,5,3
53831,10,21,172,217,8,7
30365,1,6,28,64,8,4
16360,2,9,58,82,7,4
59205,2,9,60,76,6,4
55685,0,2,10,26,9,2
45065,2,4,39,53,11,5
58990,11,17,167,188,7,5
41427,1,9,57,74,6,4
43772,10,25,184,253,6,6
43123,14,22,219,222,6,8
26542,5,12,95,123,11,5
32475,3,11,66,113,8,5
26307,0,0,3,8,5,1
51561,5,4,50,71,8,5
26390,3,6,55,70,5,5
52337,16,20,202,244,11,6
46754,6,3,57,71,7,5
48653,12,27,203,279,11,7
19051,3,16,101,143,7,5
22250,8,7,88,104,7,5
43553,13,29,204,308,9,7
52564,2,3,34,42,5,5
44652,5,14,103,136,10,6
25216,2,3,32,36,7,4
36505,1,4,29,45,7,3
19502,12,30,230,277,7,5
48506,8,34,186,319,12,5
26382,9,12,135,152,7,8
66800,12,29,211,292,11,6
26681,6,8,80,107,12,5
61890,3,2,37,40,5,8
61794,3,2,33,35,5,4
65816,7,4,75,69,5,5
61970,0,7,33,65,11,5
60506,9,32,209,286,10,6
43132,1,2,15,25,7,4
58640,7,14,117,143,9,8
60628,13,28,220,274,8,8
34147,11,3,92,84,6,8
62148,13,28,204,289,8,7
17340,3,5,51,47,7,6
60572,2,1,21,26,6,4
45671,8,16,133,167,8,8
44644,5,35,198,293,9,7
