,downYear,upYear,downMonth,upMonth
20714,3,3,38,45
11949,9,6,99,95
24459,21,38,322,398
13303,15,21,219,223
11658,6,15,121,142
21645,2,5,43,52
14189,8,18,152,176
20431,6,5,67,80
19756,8,10,123,103
19772,3,5,53,57
14357,7,20,146,193
24619,0,2,20,25
21434,5,5,67,71
13012,5,8,74,103
24221,17,37,268,392
15915,12,7,137,104
13856,11,52,305,461
19377,10,30,204,292
14891,15,32,252,329
19561,18,45,337,429
12212,2,0,27,18
13274,1,5,33,49
15157,1,9,54,83
25136,0,0,3,4
16686,2,8,58,78
12976,9,19,136,216
24264,16,28,259,285
16205,4,5,58,69
12618,0,0,1,2
16571,9,27,195,258
12220,0,0,9,6
15544,6,6,90,73
28281,0,3,21,36
23050,7,17,141,163
10057,13,21,224,200
15966,10,31,212,301
21784,1,1,16,21
18032,12,25,202,263
13389,0,0,6,7
13370,6,4,73,82
10292,0,4,26,40
10321,15,14,182,183
14488,4,5,61,63
22488,9,7,103,102
18729,17,46,313,453
17304,9,19,154,203
22306,3,4,41,62
22381,2,3,31,47
21231,6,12,98,134
14816,0,0,2,3
25187,0,3,24,31
19350,20,43,329,437
11359,0,4,30,29
25013,13,38,272,360
17689,3,3,42,40
13004,2,1,28,19
18171,0,1,5,20
11703,16,43,321,405
21979,14,37,277,365
11543,6,7,81,92
12319,18,25,251,286
19844,2,7,54,68
17830,20,43,335,431
23325,10,16,160,172
25232,17,36,296,367
16256,2,5,51,54
24336,6,12,107,121
17486,2,1,20,32
25611,0,8,55,78
25267,12,32,217,327
19836,2,1,22,29
17654,2,7,54,72
17312,3,3,47,43
17216,0,2,16,24
24678,10,32,217,302
13063,8,10,101,131
21688,0,1,9,14
18147,15,26,223,282
25195,11,7,122,112
18569,10,20,162,212
12140,20,34,296,368
20984,15,18,206,200
24504,2,8,51,85
18884,8,16,131,172
18278,11,21,186,219
19334,12,10,129,153
10161,15,20,206,234
20167,12,10,135,139
12837,9,13,124,156
10487,10,18,149,201
18091,3,9,82,75
25072,6,12,101,131
14429,2,9,66,78
20562,11,26,210,246
21303,6,20,137,191
11770,2,3,29,46
12626,8,18,150,182
14832,1,1,23,20
11471,7,16,127,168
18999,12,19,170,223
19393,16,47,325,441
19270,3,6,53,68
20036,3,6,58,61
16619,10,6,90,115
18825,6,12,106,120
21522,9,19,169,186
12458,20,20,236,260
19713,9,17,147,182
12044,4,8,74,85
18403,19,36,308,373
17056,3,2,37,33
20263,10,17,151,187
22787,5,7,76,80
15763,12,15,167,176
17953,8,20,146,203
20386,8,18,141,184
19932,3,7,57,80
25371,17,21,210,258
22808,3,7,60,70
25056,15,24,216,269
17590,8,21,161,203
22293,22,39,340,425
23499,4,21,130,191
22592,19,44,323,443
21426,1,2,28,29
19625,1,2,26,25
19238,11,16,168,169
14760,7,13,139,136
17398,0,4,26,35
13901,10,53,289,477
