,downYear,upYear,downMonth,upMonth
70332,8,13,122,143
81593,4,6,60,74
77157,6,2,74,61
60441,1,1,15,19
42906,10,13,119,162
72726,8,15,123,158
64390,5,18,116,165
46886,6,17,125,155
24046,5,5,56,74
40484,0,1,6,9
85348,5,18,114,164
20053,5,5,53,69
30681,8,15,128,149
23473,7,16,119,158
71563,9,14,121,156
80599,3,6,53,75
58246,6,16,125,151
67467,8,6,87,94
51588,1,1,19,19
52821,0,0,9,10
79973,4,3,55,45
37584,8,14,120,153
77284,2,4,36,52
83440,1,0,14,18
85913,8,14,126,146
85926,7,15,125,147
85908,1,0,23,8
80506,0,0,4,8
76563,0,0,5,5
81055,9,13,120,150
11955,4,18,113,157
86136,5,17,101,169
88388,0,1,11,12
68304,1,8,55,64
66325,4,11,82,108
30382,5,3,55,53
35044,8,14,109,160
64531,0,0,5,6
83596,4,5,56,64
77606,9,12,127,138
76597,1,0,10,17
77063,2,6,53,57
78083,1,4,36,38
78263,3,2,33,36
75489,9,9,106,121
76712,10,12,125,142
61621,6,16,112,155
70500,5,12,88,123
11976,4,10,83,96
76149,10,6,86,108
75857,6,2,52,54
86414,2,3,27,37
75154,11,11,118,147
77418,8,10,108,125
78139,5,7,78,78
81061,7,14,123,141
36127,0,1,14,11
71686,0,4,26,42
60599,12,9,125,137
62770,1,5,41,51
78916,9,11,114,139
86591,3,2,40,37
57904,5,16,112,148
54463,0,0,10,7
75573,4,6,67,71
82598,8,13,116,143
83583,0,4,30,36
85914,9,12,123,136
15202,7,14,117,141
77178,7,14,111,147
50906,5,2,49,46
76887,5,3,56,56
82643,6,6,81,77
86326,1,0,14,11
61663,0,1,8,16
87029,0,2,19,17
77659,8,9,100,113
10138,6,15,103,152
10942,3,4,41,47
60943,8,13,109,146
60871,9,12,113,142
27991,7,14,106,149
77481,3,9,63,88
10353,1,0,12,7
80470,2,1,20,26
51369,8,5,81,92
76201,8,13,112,142
59345,0,1,10,6
82686,6,15,111,142
87292,4,6,51,80
79237,4,7,80,73
54827,7,6,87,81
83435,9,8,97,113
86041,0,0,6,3
70033,8,11,117,128
11983,2,0,27,19
86496,1,0,16,13
84372,3,3,44,49
84036,2,4,43,42
80055,3,1,35,28
10299,8,8,96,107
75577,8,6,87,101
83413,1,0,13,11
11896,4,4,59,54
83693,3,2,37,32
76656,4,2,38,46
79718,4,1,32,35
11970,1,5,34,46
10725,0,3,16,35
12067,5,6,77,67
77702,5,15,96,151
75100,6,14,105,142
87432,6,14,113,134
79108,5,1,45,40
86305,5,3,56,58
85963,7,8,87,100
79879,8,4,86,75
88313,4,6,70,66
85599,0,0,4,7
85032,5,5,62,67
87800,1,0,15,10
88319,3,2,35,31
87137,8,12,107,138
24360,2,4,31,53
29102,7,7,80,93
90352,4,4,56,54
86176,5,4,58,64
85516,3,1,29,24
83630,0,0,8,2
88587,2,4,42,41
45241,6,7,73,91
23318,3,2,29,36
54690,2,3,24,41
38762,6,14,91,151
75825,8,12,106,136
76757,4,3,47,43
51596,1,5,27,50
52230,6,14,111,130
78975,2,18,92,149
73139,3,17,97,144
77173,1,0,12,8
80266,7,3,60,61
87842,7,13,109,132
83981,3,1,42,18
73940,3,3,37,36
90537,2,8,75,77
85522,3,1,39,25
88853,6,11,102,119
88845,3,13,77,137
79094,8,4,81,85
23887,8,7,90,103
84001,2,3,36,37
23660,6,13,93,145
10696,3,16,83,154
88601,1,0,20,7
26332,2,0,17,17
86756,2,6,46,60
87536,1,1,14,20
84129,9,10,110,125
84342,3,6,66,60
76624,4,1,32,39
89014,2,14,89,118
89001,1,1,16,22
81540,4,15,95,138
84519,4,3,51,49
53866,3,10,75,92
43610,0,0,3,7
89070,7,12,101,131
86314,7,9,92,112
45277,7,5,71,82
85238,1,4,23,41
37161,3,11,79,98
76565,4,1,29,35
86580,6,13,90,140
10324,4,5,54,58
76638,4,3,46,41
79547,6,13,94,135
82651,5,13,93,135
75592,3,10,72,97
79057,1,14,77,127
51706,4,4,52,61
80515,0,0,7,5
36397,5,5,66,67
81285,1,4,24,49
81138,5,5,67,67
76240,3,4,48,47
80100,6,12,85,138
86868,4,14,93,129
75828,6,12,98,124
58094,1,2,21,32
10108,0,2,14,23
89258,5,13,87,135
86356,4,14,103,119
89195,5,13,95,127
87447,5,13,92,130
89179,4,14,89,133
88668,3,12,75,115
86946,1,13,60,118
89495,0,1,10,9
84373,4,14,91,126
89525,5,13,83,134
76282,5,8,76,98
52090,2,15,80,134
80711,5,11,89,124
75607,7,10,101,113
86102,3,6,51,66
80406,1,6,36,59
77668,4,10,67,116
89813,4,4,39,64
76841,7,10,91,115
35554,6,10,87,116
81262,0,2,14,22
80913,3,2,31,39
85269,6,10,88,113
83862,5,10,85,113
69550,6,9,97,102
90110,3,7,59,76
77274,5,11,92,106
10562,3,1,28,26
77150,1,0,11,16
88661,7,9,93,103
89463,2,2,27,30
12062,3,13,76,118
64451,0,2,11,23
86021,5,9,70,105
90441,4,10,75,96
79212,1,4,24,42
22032,0,2,12,21
90435,0,0,8,15
84032,8,7,90,100
89757,4,2,41,49
32791,1,2,19,24
69796,4,11,78,108
77661,5,10,81,105
28388,7,8,79,106
76619,2,5,34,59
77730,6,9,77,108
28345,5,6,69,74
64653,3,12,79,106
78034,6,6,73,76
52708,5,10,77,106
90880,4,11,74,108
84788,4,11,69,113
90162,5,4,61,58
84176,1,1,13,18
82642,2,12,68,112
77281,5,5,71,68
91063,6,6,80,86
85753,3,11,66,113
11415,0,1,18,16
75224,4,6,58,75
78877,6,5,83,61
77129,8,6,89,88
85058,5,9,81,96
65330,4,5,65,63
82618,5,4,58,63
90319,4,10,71,106
83421,3,3,38,47
91207,4,5,56,68
91218,2,0,18,19
86845,0,1,12,9
86979,7,7,84,91
86799,6,3,56,61
89626,4,10,81,92
91391,4,4,47,57
91392,3,8,55,85
91388,0,0,2,5
45794,1,2,18,28
89003,3,11,67,103
90199,5,9,77,93
11552,4,8,66,90
88991,4,3,44,50
91461,6,8,76,94
86158,6,8,73,97
78840,1,0,11,9
58318,0,1,11,12
27756,1,2,17,26
89954,2,6,38,65
80381,4,9,66,102
62519,1,0,16,19
85072,4,9,76,91
91650,3,6,49,71
25099,1,6,40,60
87070,3,4,47,58
83976,3,2,39,42
85459,6,7,70,96
78927,1,0,16,8
90038,3,10,61,104
89006,3,10,68,97
81776,3,0,34,21
63830,3,5,42,62
85271,1,0,12,8
79129,3,1,36,36
87299,5,8,72,90
92156,1,3,27,41
92157,2,8,53,80
92121,3,10,66,95
90993,2,11,70,90
37284,2,8,63,70
78987,3,10,64,96
90808,5,8,66,93
61815,5,7,74,82
83699,2,2,37,25
87717,3,10,70,89
91143,3,2,36,37
52329,6,7,78,81
23501,1,7,45,55
86111,3,10,62,96
51263,1,0,13,9
92293,4,5,52,63
53225,2,4,40,41
50017,5,5,68,58
89301,3,5,48,52
76639,2,8,56,84
81857,2,5,45,54
67598,5,7,67,87
92602,2,10,65,88
88352,2,10,60,91
63765,4,4,55,51
76082,6,6,71,80
80303,1,1,21,20
82307,3,9,65,85
17279,0,6,32,51
91233,1,11,53,97
92709,3,6,50,65
19583,4,8,70,79
90829,3,9,65,84
84769,3,9,52,96
75241,5,7,65,83
90215,2,10,57,91
11618,2,10,72,76
92618,1,8,41,76
90601,1,11,54,93
30940,6,6,67,80
76625,2,0,15,20
83906,4,5,57,64
12073,6,6,65,81
89533,4,8,65,81
11600,4,8,68,78
42585,3,9,62,84
86725,1,4,25,37
77976,0,2,11,16
88590,3,5,46,54
86228,1,11,47,98
83143,2,9,60,84
65947,3,8,58,86
79265,6,5,64,80
23085,1,8,49,71
82298,5,1,57,35
91883,1,5,31,55
44206,1,10,48,94
75819,3,8,58,84
32870,1,10,51,91
79103,1,10,50,92
82196,2,3,33,38
91937,1,3,27,38
89004,3,4,40,51
76708,2,0,20,20
85792,4,7,59,79
66384,5,6,61,77
87184,2,7,42,78
70308,0,6,32,48
92988,1,4,27,38
91611,5,2,48,41
86783,2,9,53,81
27422,3,1,26,26
77338,1,10,56,77
91556,0,11,54,79
91547,3,1,31,31
92611,1,10,43,90
92890,3,4,40,50
90071,4,6,59,73
79881,4,2,48,37
83443,2,8,56,75
90805,5,5,64,66
10909,3,7,49,80
89508,4,6,55,72
93422,2,2,29,30
68857,1,4,27,39
86964,6,4,61,60
89393,2,8,44,77
79915,5,3,49,49
12456,0,0,7,8
89105,3,0,32,24
87267,2,7,44,73
91068,4,5,49,68
87657,1,8,49,68
90547,0,0,13,3
85592,1,8,45,70
89071,1,8,40,74
12872,2,7,44,69
90386,5,4,49,63
81481,3,6,44,65
15553,1,3,19,36
13035,2,7,41,68
79545,5,4,45,64
77182,4,5,59,50
13168,3,3,48,47
13141,0,1,14,11
86339,0,8,44,62
79089,2,1,27,18
12558,4,4,49,55
83111,3,5,48,56
48486,1,7,33,70
88031,2,6,49,54
13356,3,5,44,59
93159,2,1,26,18
89641,2,6,40,62
12345,1,7,40,60
79411,0,2,14,15
13598,0,2,10,22
13586,3,5,41,57
13567,3,0,18,24
93096,0,8,41,56
88837,1,7,42,55
13103,2,6,36,61
13721,2,5,37,58
13936,4,3,38,57
76614,2,5,43,49
80399,3,2,42,37
13788,0,7,26,65
12369,2,5,41,50
12542,5,2,45,45
13963,4,3,47,42
76744,1,6,38,50
85257,2,5,37,51
91926,3,4,39,49
13142,3,3,45,33
77496,1,6,35,50
13407,1,6,30,55
89002,4,2,39,39
14297,2,4,33,51
80286,1,5,36,48
79588,1,0,15,9
80681,2,4,33,48
90979,3,3,35,45
93002,0,6,30,50
14542,1,5,31,49
89509,4,1,37,32
14601,2,1,23,25
80204,1,5,31,47
85593,3,1,36,29
92778,3,3,44,33
14011,2,0,14,21
79637,2,4,39,37
85663,2,4,33,43
85991,0,2,23,12
79145,3,3,31,42
88436,1,0,17,9
12622,0,5,35,37
45911,2,3,32,38
85265,4,1,36,34
89617,1,4,26,44
82581,2,3,34,36
91416,3,2,36,34
81045,1,4,26,43
85035,1,4,31,36
89217,2,3,34,32
12076,2,0,20,12
42877,1,4,30,36
79678,2,3,23,42
15401,0,0,3,7
15404,0,0,7,4
15408,3,2,33,32
15488,0,5,24,41
89565,0,0,1,2
91103,2,3,31,33
13964,2,3,33,31
90442,0,3,20,22
93089,0,5,23,40
14776,1,4,25,37
88446,1,4,25,37
15797,1,1,16,12
23393,0,5,24,37
15707,2,3,29,32
90305,0,4,25,35
89017,0,4,25,35
92239,3,1,30,29
58413,3,1,35,24
14889,2,2,24,35
89269,1,3,28,30
76095,1,3,22,36
92614,0,4,21,37
59300,1,3,26,32
88873,0,4,19,38
92322,1,3,23,34
28804,3,1,27,29
89216,1,0,17,8
15980,2,2,29,27
89866,2,2,19,37
38093,0,4,17,39
90373,1,3,26,30
91152,0,4,16,39
12981,1,3,22,33
58819,1,3,19,35
80191,2,2,21,33
16087,1,3,16,37
12308,1,3,17,35
65541,0,4,21,31
85621,1,3,19,33
13983,1,2,31,16
80183,2,2,18,31
85675,1,0,11,11
76709,0,3,14,34
79906,2,1,29,18
16538,2,1,26,21
93429,2,1,17,29
79782,2,1,28,18
77357,1,2,16,30
69649,1,2,18,28
81696,2,1,24,22
84767,1,2,16,30
79698,0,3,14,31
14338,1,2,15,28
83621,1,2,16,27
88860,1,2,13,30
82303,1,2,20,23
14704,0,3,12,31
75341,1,2,15,27
65402,1,2,22,20
87541,1,2,15,27
81736,0,3,11,31
11891,2,1,22,20
13911,0,3,19,22
86996,1,2,17,23
16816,1,0,11,8
11403,0,3,14,26
13760,2,1,19,20
16851,2,1,19,20
12623,1,1,17,19
80539,0,0,12,7
91668,0,2,16,18
11786,0,2,12,22
84761,0,2,11,23
92402,0,2,11,22
75107,1,1,17,15
91849,0,2,12,19
12449,1,1,12,19
32803,1,1,21,10
24053,1,1,13,18
14295,0,2,12,19
80320,0,2,7,23
14714,1,1,11,18
90272,0,1,7,9
93132,0,2,13,14
36003,1,1,13,14
14939,0,2,9,17
18143,0,2,9,17
88664,0,2,10,16
13641,1,1,18,7
16431,1,1,10,15
90520,0,2,9,16
44329,0,1,7,17
12448,0,1,8,16
81677,1,0,11,12
32986,1,0,11,12
18420,1,0,8,13
18421,1,0,10,11
18428,0,1,7,13
90454,0,1,7,11
18592,0,1,8,10
18724,0,1,7,11
75591,0,1,8,9
79785,0,1,5,11
13949,1,0,4,12
90505,1,0,7,8
13447,0,1,3,11
17743,1,0,5,8
77649,0,1,4,9
77037,0,1,5,8
76795,0,1,5,8
91041,0,1,7,6
14579,0,0,3,9
16692,0,0,4,6
90664,0,0,3,5
19285,0,0,1,7
62498,0,0,2,6
90248,0,0,3,5
19286,0,0,2,6
76185,0,0,2,5
87445,0,0,4,3
61516,0,0,3,4
14763,0,0,1,3
15291,0,0,1,3
82515,0,0,1,2
19807,0,0,0,2
93436,0,0,0,1
20057,0,0,0,1
