,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
12079,32,51,457,544,14,13,319,224,225,232
13362,9,9,104,116,7,6,54,62,61,42
12933,11,8,132,111,5,9,49,61,58,69
15659,20,55,405,493,12,9,272,220,221,184
15720,27,68,448,687,12,10,426,261,260,187
15704,11,14,140,162,10,7,81,80,79,60
13696,8,12,115,159,16,7,95,63,62,50
16176,0,1,7,19,8,2,13,5,6,1
16432,34,57,507,590,18,8,320,269,269,238
10823,19,28,276,322,9,8,181,139,140,136
11260,29,40,390,450,13,10,251,198,198,192
21573,32,60,506,599,11,7,310,289,288,217
15042,9,13,133,154,9,5,75,77,78,55
17929,11,10,116,149,11,7,92,57,56,59
11789,9,8,103,109,8,6,55,54,53,49
17128,14,22,214,242,6,6,117,124,123,90
13143,13,28,235,276,9,8,149,127,125,107
19537,18,38,305,383,17,10,215,168,167,137
11148,7,15,127,164,7,5,90,74,72,53
12298,1,2,24,26,4,6,12,13,13,11
16707,12,28,221,272,10,6,153,118,119,102
17419,0,2,15,19,5,3,7,11,11,4
18542,24,51,394,524,10,7,298,224,225,169
19131,15,35,272,334,11,6,179,155,154,117
20853,17,41,286,424,12,5,255,169,168,117
12888,16,32,279,313,11,9,160,153,153,125
14875,5,10,86,101,11,7,54,47,47,38
17232,6,11,97,134,9,5,77,57,56,39
19203,9,5,87,100,8,6,50,49,50,36
13864,1,1,15,19,6,5,12,7,6,8
19596,20,32,270,365,9,7,212,152,152,118
18198,0,2,13,21,9,3,13,8,7,5
21020,27,36,358,417,10,7,234,181,182,176
17849,1,1,16,16,5,4,8,7,7,9
10196,1,1,14,18,12,7,13,5,4,9
19027,14,28,228,284,10,10,153,130,130,98
19385,12,11,144,147,8,10,77,70,69,74
13100,19,41,320,414,10,6,230,183,183,137
21776,26,50,373,546,18,6,329,217,216,156
18411,18,58,363,556,10,6,323,232,232,131
19019,11,19,181,210,8,7,110,98,99,82
11834,6,7,81,87,6,5,38,48,49,32
18868,1,1,11,21,4,4,13,7,7,4
21370,8,22,157,219,8,7,125,94,93,63
13207,5,2,61,53,5,6,25,28,26,33
22859,7,21,156,197,6,6,103,94,93,62
22947,9,30,199,292,10,6,162,129,128,70
23229,14,35,248,364,10,6,219,144,144,103
23210,6,22,157,191,10,5,101,90,89,67
23712,20,52,345,525,9,7,307,218,217,127
23931,13,58,333,525,11,6,331,193,194,139
23421,15,22,213,241,9,5,125,115,115,98
10970,10,19,158,197,11,6,110,87,87,70
18382,17,35,276,357,15,7,201,156,155,120
12730,5,24,147,215,9,4,123,92,91,55
15368,19,30,278,320,7,9,168,152,151,126
23317,14,35,282,320,10,9,162,158,158,123
24061,3,11,71,112,7,7,70,41,41,30
24109,17,52,347,485,13,7,279,206,206,140
23130,9,15,144,167,10,8,90,76,75,68
23587,7,8,99,96,7,8,48,48,48,50
23675,3,1,37,23,4,7,9,13,14,23
22402,5,11,109,109,12,8,54,54,53,55
22680,14,31,266,288,7,6,154,133,134,132
20626,22,40,340,421,12,9,229,191,191,149
11367,6,7,70,102,9,4,59,42,42,28
24627,6,16,151,144,7,10,70,73,73,77
23296,3,6,52,70,10,7,42,28,27,24
22541,7,16,139,174,8,6,105,67,68,71
13610,7,10,103,112,8,7,54,57,57,46
20810,0,0,5,4,3,4,2,1,2,3
21290,3,4,45,64,6,4,36,26,26,19
18585,0,2,16,29,8,3,19,9,9,7
14613,2,4,44,41,5,8,23,17,17,27
23464,9,14,150,146,14,9,73,72,73,77
11391,2,8,54,76,11,6,43,32,32,22
20570,10,18,162,187,7,6,104,82,82,80
21872,0,0,4,1,1,4,0,0,1,3
22496,6,12,116,134,7,5,70,63,62,53
15085,0,0,8,5,3,5,2,3,2,5
22891,8,25,190,241,10,8,133,106,106,84
15472,12,38,270,349,7,7,192,156,157,113
12466,9,11,120,137,8,7,68,68,68,52
12431,19,42,319,431,10,6,242,187,188,131
25785,27,36,363,403,10,8,224,179,179,183
22875,1,3,27,32,5,4,18,14,14,12
12124,6,9,86,110,13,5,62,46,48,38
21055,15,21,216,235,8,8,122,112,113,103
20976,8,10,123,109,6,6,50,59,58,64
10735,3,7,53,77,10,4,41,35,35,18
15464,4,5,61,67,5,8,35,31,32,29
17582,1,4,37,40,7,5,19,21,21,15
17144,14,42,292,403,11,6,233,170,169,121
24707,7,19,147,177,8,7,95,81,81,66
19107,1,5,33,50,6,4,27,22,23,10
10559,9,19,152,203,11,6,119,83,84,68
