,ticker,permno
320,EQR,79547
320,UHS,79637
320,ATVI,79678
320,IT,79698
320,REG,79782
320,NVR,79785
320,INCY,79906
320,EMN,80080
320,SPG,80100
320,MAA,80183
320,ALB,80191
320,MLM,80204
320,TSCO,80286
320,CPRT,80320
320,AVB,80381
320,ESS,80681
320,AIV,80711
320,O,81045
320,COF,81055
320,MCK,81061
320,DLTR,81481
320,ABC,81540
320,DRI,81655
320,WAB,81677
320,DISH,81696
320,RMD,81736
320,FCX,81774
320,RE,82303
320,DVA,82307
320,POOL,82515
320,HSIC,82581
320,NTAP,82598
320,EL,82642
320,WAT,82651
320,CTXS,82686
320,HIG,82775
320,ALXN,83111
320,IRM,83143
320,BRK/B,83443
320,ANSS,83621
320,ETFC,83862
320,NOV,84032
320,ZION,84129
320,DGX,84373
320,ROK,84381
320,TTWO,84761
320,ARE,84767
320,APH,84769
320,AMZN,84788
320,QRVO,85035
320,BXP,85058
320,RL,85072
320,AME,85257
320,SLG,85265
320,VLO,85269
320,YUM,85348
320,CHRW,85459
320,PLD,85592
320,MTD,85621
320,ADSK,85631
320,URI,85663
320,VRSN,85753
320,PWR,85792
320,MAR,85913
320,BBY,85914
320,SEE,85926
320,AMT,86111
320,SRE,86136
320,CTSH,86158
320,RSG,86228
320,CCI,86339
320,EBAY,86356
320,NVDA,86580
320,BKNG,86783
320,GS,86868
320,FFIV,86964
320,JNPR,86979
320,SBAC,86996
320,COST,87055
320,DVN,87137
320,BLK,87267
320,AKAM,87299
320,A,87432
320,TDY,87445
320,UPS,87447
320,PKG,87541
320,EW,87657
320,EXPD,87717
320,MET,87842
320,MNST,88031
320,ISRG,88352
320,ILMN,88446
320,TPR,88661
320,JKHY,88664
320,GRMN,88837
320,ALGN,88860
320,GPN,88873
320,ADS,89002
320,FIS,89003
320,MDLZ,89006
320,WLTW,89017
320,ZBH,89070
320,ACN,89071
320,ANTM,89179
320,PFG,89195
320,AAP,89217
320,PRU,89258
320,CNC,89269
320,NFLX,89393
320,KMX,89508
320,XEC,89509
320,CMCSA,89525
320,WYNN,89533
320,EQIX,89617
320,CME,89626
320,STX,89641
320,LKQ,89866
320,AIZ,90038
320,NRG,90071
320,CBRE,90199
320,CRM,90215
320,DPZ,90248
320,EXR,90305
320,GOOGL,90319
320,DLR,90373
320,MOS,90386
320,MKTX,90454
320,LVS,90505
320,CE,90520
320,NDAQ,90601
320,DXCM,90664
320,DISCA,90805
320,EXPE,90808
320,CF,90829
320,AMP,90880
320,UAA,90979
320,ICE,90993
320,LYV,91041
320,CMG,91068
320,UAL,91103
320,TDG,91152
320,MA,91233
320,HBI,91416
320,WU,91461
320,LDOS,91547
320,ROST,91556
320,IPGP,91668
320,BR,91849
320,DAL,91926
320,TMUS,91937
320,DFS,92121
320,TEL,92157
320,CXO,92239
320,ULTA,92322
320,MSCI,92402
320,PM,92602
320,V,92611
320,AWK,92614
320,UNH,92655
320,AVGO,93002
320,VRSK,93089
320,DG,93096
320,FTNT,93132
320,CBOE,93429
320,TSLA,93436
320,BRO,100001
320,CRL,100002
320,CDAY,100003
320,CZR,100004
320,CTRA,100005
320,EPAM,100006
320,ENPH,100007
320,FDS,100008
320,GNRC,100009
320,MRNA,100010
320,MPMR,100011
320,MTCH,100012
320,NXPI,100013
320,OGN,100014
320,PTC,100015
320,SBNY,100016
320,SEDG,100017
320,TRMB,100018
320,TECH,100019
320,WELL,100020
320,WTW,100021
320,MPWR,100022
320,BBWI,100023
320,PENN,100024
